period,ratio,group,age_group
2025-01-15,0.32689,10,50000815
2025-01-15,7.75243,20,50000815
2025-01-15,23.35795,30,50000815
2025-01-15,38.1379,40,50000815
2025-01-15,26.48389,50,50000815
2025-01-15,7.25603,60,50000815
2025-01-16,0.29057,10,50000815
2025-01-16,7.77816,20,50000815
2025-01-16,22.89409,30,50000815
2025-01-16,36.5579,40,50000815
2025-01-16,25.78924,50,50000815
2025-01-16,7.14555,60,50000815
2025-01-17,0.26181,10,50000815
2025-01-17,6.90492,20,50000815
2025-01-17,20.8699,30,50000815
2025-01-17,35.68617,40,50000815
2025-01-17,25.50699,50,50000815
2025-01-17,6.73164,60,50000815
2025-01-18,0.30949,10,50000815
2025-01-18,8.09749,20,50000815
2025-01-18,24.07303,30,50000815
2025-01-18,42.93843,40,50000815
2025-01-18,30.75776,50,50000815
2025-01-18,7.704,60,50000815
2025-01-19,0.37154,10,50000815
2025-01-19,9.75467,20,50000815
2025-01-19,27.65376,30,50000815
2025-01-19,47.42039,40,50000815
2025-01-19,32.79102,50,50000815
2025-01-19,7.95447,60,50000815
2025-01-20,0.311,10,50000815
2025-01-20,8.33888,20,50000815
2025-01-20,23.49642,30,50000815
2025-01-20,37.10046,40,50000815
2025-01-20,25.56525,50,50000815
2025-01-20,7.25376,60,50000815
2025-01-21,0.29435,10,50000815
2025-01-21,7.79329,20,50000815
2025-01-21,22.32732,30,50000815
2025-01-21,37.1731,40,50000815
2025-01-21,26.58075,50,50000815
2025-01-21,7.37181,60,50000815
2025-01-22,0.30268,10,50000815
2025-01-22,7.09864,20,50000815
2025-01-22,21.31257,30,50000815
2025-01-22,37.5348,40,50000815
2025-01-22,26.5134,50,50000815
2025-01-22,6.95487,60,50000815
2025-01-23,0.2883,10,50000815
2025-01-23,6.99194,20,50000815
2025-01-23,19.93764,30,50000815
2025-01-23,34.33773,40,50000815
2025-01-23,25.89139,50,50000815
2025-01-23,7.08426,60,50000815
2025-01-24,0.311,10,50000815
2025-01-24,6.26853,20,50000815
2025-01-24,18.23581,30,50000815
2025-01-24,33.42741,40,50000815
2025-01-24,23.67274,50,50000815
2025-01-24,6.65294,60,50000815
2025-01-25,0.32613,10,50000815
2025-01-25,7.00859,20,50000815
2025-01-25,22.43552,30,50000815
2025-01-25,41.33422,40,50000815
2025-01-25,29.32532,50,50000815
2025-01-25,7.23106,60,50000815
2025-01-26,0.32916,10,50000815
2025-01-26,8.01122,20,50000815
2025-01-26,24.14568,30,50000815
2025-01-26,42.50938,40,50000815
2025-01-26,30.22958,50,50000815
2025-01-26,7.88561,60,50000815
2025-01-27,0.29133,10,50000815
2025-01-27,8.11187,20,50000815
2025-01-27,24.04201,30,50000815
2025-01-27,41.39778,40,50000815
2025-01-27,29.57276,50,50000815
2025-01-27,7.14177,60,50000815
2025-01-28,0.34203,10,50000815
2025-01-28,8.64988,20,50000815
2025-01-28,23.46843,30,50000815
2025-01-28,39.15718,40,50000815
2025-01-28,28.94318,50,50000815
2025-01-28,7.54736,60,50000815
2025-01-29,0.40105,10,50000815
2025-01-29,8.89127,20,50000815
2025-01-29,24.49149,30,50000815
2025-01-29,37.41676,40,50000815
2025-01-29,25.87096,50,50000815
2025-01-29,6.88903,60,50000815
2025-01-30,0.50018,10,50000815
2025-01-30,10.06114,20,50000815
2025-01-30,29.36845,30,50000815
2025-01-30,45.92287,40,50000815
2025-01-30,34.35664,50,50000815
2025-01-30,9.61998,60,50000815
2025-01-31,0.41013,10,50000815
2025-01-31,9.22876,20,50000815
2025-01-31,25.18085,30,50000815
2025-01-31,41.09358,40,50000815
2025-01-31,29.48877,50,50000815
2025-01-31,8.43725,60,50000815
2025-02-01,0.42375,10,50000815
2025-02-01,10.06038,20,50000815
2025-02-01,29.87922,30,50000815
2025-02-01,53.34766,40,50000815
2025-02-01,40.1076,50,50000815
2025-02-01,10.808,60,50000815
2025-02-02,0.47823,10,50000815
2025-02-02,11.39899,20,50000815
2025-02-02,33.99116,30,50000815
2025-02-02,55.45886,40,50000815
2025-02-02,40.65924,50,50000815
2025-02-02,11.03048,60,50000815
2025-02-03,0.40483,10,50000815
2025-02-03,9.33773,20,50000815
2025-02-03,26.79036,30,50000815
2025-02-03,42.19232,40,50000815
2025-02-03,31.00671,50,50000815
2025-02-03,9.8591,60,50000815
2025-02-04,0.3564,10,50000815
2025-02-04,9.04261,20,50000815
2025-02-04,26.8683,30,50000815
2025-02-04,41.17001,40,50000815
2025-02-04,29.81718,50,50000815
2025-02-04,8.94878,60,50000815
2025-02-05,0.33976,10,50000815
2025-02-05,9.29308,20,50000815
2025-02-05,29.52357,30,50000815
2025-02-05,42.06141,40,50000815
2025-02-05,28.49294,50,50000815
2025-02-05,8.35704,60,50000815
2025-02-06,0.35489,10,50000815
2025-02-06,8.42439,20,50000815
2025-02-06,25.97463,30,50000815
2025-02-06,39.46289,40,50000815
2025-02-06,28.98102,50,50000815
2025-02-06,9.04791,60,50000815
2025-02-07,0.37456,10,50000815
2025-02-07,8.10203,20,50000815
2025-02-07,23.80894,30,50000815
2025-02-07,39.72319,40,50000815
2025-02-07,30.40286,50,50000815
2025-02-07,9.37254,60,50000815
2025-02-08,0.36548,10,50000815
2025-02-08,9.11601,20,50000815
2025-02-08,29.5213,30,50000815
2025-02-08,51.21829,40,50000815
2025-02-08,37.91618,50,50000815
2025-02-08,11.15457,60,50000815
2025-02-09,0.39953,10,50000815
2025-02-09,11.04107,20,50000815
2025-02-09,35.84584,30,50000815
2025-02-09,59.07591,40,50000815
2025-02-09,41.01943,50,50000815
2025-02-09,11.66838,60,50000815
2025-02-10,0.33143,10,50000815
2025-02-10,9.77586,20,50000815
2025-02-10,29.06123,30,50000815
2025-02-10,44.6675,40,50000815
2025-02-10,30.37411,50,50000815
2025-02-10,9.24238,60,50000815
2025-02-11,0.37683,10,50000815
2025-02-11,9.14779,20,50000815
2025-02-11,27.79677,30,50000815
2025-02-11,44.84835,40,50000815
2025-02-11,31.19967,50,50000815
2025-02-11,9.34756,60,50000815
2025-02-12,0.39045,10,50000815
2025-02-12,8.42136,20,50000815
2025-02-12,26.74042,30,50000815
2025-02-12,43.94939,40,50000815
2025-02-12,31.74072,50,50000815
2025-02-12,10.22837,60,50000815
2025-02-13,0.3057,10,50000815
2025-02-13,8.1951,20,50000815
2025-02-13,24.35982,30,50000815
2025-02-13,42.57899,40,50000815
2025-02-13,31.68472,50,50000815
2025-02-13,9.44896,60,50000815
2025-02-14,0.31478,10,50000815
2025-02-14,7.74865,20,50000815
2025-02-14,24.02612,30,50000815
2025-02-14,44.35271,40,50000815
2025-02-14,31.94124,50,50000815
2025-02-14,10.22307,60,50000815
2025-02-15,0.35035,10,50000815
2025-02-15,9.49739,20,50000815
2025-02-15,29.96095,30,50000815
2025-02-15,57.57612,40,50000815
2025-02-15,42.46322,50,50000815
2025-02-15,12.10727,60,50000815
2025-02-16,0.48353,10,50000815
2025-02-16,12.33276,20,50000815
2025-02-16,40.49503,30,50000815
2025-02-16,71.94518,40,50000815
2025-02-16,50.50093,50,50000815
2025-02-16,13.41712,60,50000815
2025-02-17,0.37154,10,50000815
2025-02-17,10.48186,20,50000815
2025-02-17,33.53335,30,50000815
2025-02-17,58.66804,40,50000815
2025-02-17,40.01679,50,50000815
2025-02-17,12.14813,60,50000815
2025-02-18,0.39953,10,50000815
2025-02-18,9.39448,20,50000815
2025-02-18,30.00938,30,50000815
2025-02-18,52.93525,40,50000815
2025-02-18,37.46216,50,50000815
2025-02-18,12.07321,60,50000815
2025-02-19,0.35489,10,50000815
2025-02-19,8.89127,20,50000815
2025-02-19,28.78276,30,50000815
2025-02-19,50.8127,40,50000815
2025-02-19,37.59231,50,50000815
2025-02-19,11.83334,60,50000815
2025-02-20,0.35565,10,50000815
2025-02-20,8.55075,20,50000815
2025-02-20,27.18536,30,50000815
2025-02-20,49.06395,40,50000815
2025-02-20,36.10312,50,50000815
2025-02-20,11.3657,60,50000815
2025-02-21,0.35867,10,50000815
2025-02-21,8.59918,20,50000815
2025-02-21,25.74157,30,50000815
2025-02-21,47.93722,40,50000815
2025-02-21,36.77053,50,50000815
2025-02-21,11.31121,60,50000815
2025-02-22,0.43888,10,50000815
2025-02-22,9.77662,20,50000815
2025-02-22,32.19171,30,50000815
2025-02-22,64.12918,40,50000815
2025-02-22,47.11695,50,50000815
2025-02-22,13.10233,60,50000815
2025-02-23,0.41845,10,50000815
2025-02-23,12.25104,20,50000815
2025-02-23,40.58886,30,50000815
2025-02-23,71.94821,40,50000815
2025-02-23,50.65984,50,50000815
2025-02-23,13.45344,60,50000815
2025-02-24,0.40786,10,50000815
2025-02-24,10.07703,20,50000815
2025-02-24,32.24771,30,50000815
2025-02-24,55.90456,40,50000815
2025-02-24,39.25404,50,50000815
2025-02-24,11.91809,60,50000815
2025-02-25,0.37229,10,50000815
2025-02-25,9.42626,20,50000815
2025-02-25,31.58862,30,50000815
2025-02-25,57.72746,40,50000815
2025-02-25,40.04555,50,50000815
2025-02-25,12.34638,60,50000815
2025-02-26,0.36624,10,50000815
2025-02-26,9.86969,20,50000815
2025-02-26,32.91739,30,50000815
2025-02-26,58.80349,40,50000815
2025-02-26,41.92747,50,50000815
2025-02-26,11.7781,60,50000815
2025-02-27,0.30419,10,50000815
2025-02-27,9.44064,20,50000815
2025-02-27,29.53871,30,50000815
2025-02-27,55.54739,40,50000815
2025-02-27,40.75836,50,50000815
2025-02-27,11.95365,60,50000815
2025-02-28,0.3284,10,50000815
2025-02-28,8.43271,20,50000815
2025-02-28,28.43619,30,50000815
2025-02-28,55.4074,40,50000815
2025-02-28,40.85749,50,50000815
2025-02-28,12.16099,60,50000815
2025-03-01,0.35792,10,50000815
2025-03-01,11.2643,20,50000815
2025-03-01,38.76974,30,50000815
2025-03-01,76.10176,40,50000815
2025-03-01,55.04646,50,50000815
2025-03-01,15.20597,60,50000815
2025-03-02,0.41997,10,50000815
2025-03-02,13.58511,20,50000815
2025-03-02,45.06704,30,50000815
2025-03-02,86.50644,40,50000815
2025-03-02,59.11904,50,50000815
2025-03-02,16.43486,60,50000815
2025-03-03,0.36927,10,50000815
2025-03-03,13.83709,20,50000815
2025-03-03,46.90583,30,50000815
2025-03-03,83.33358,40,50000815
2025-03-03,59.74332,50,50000815
2025-03-03,16.76932,60,50000815
2025-03-04,0.20658,10,50000815
2025-03-04,10.41452,20,50000815
2025-03-04,35.12243,30,50000815
2025-03-04,58.58027,40,50000815
2025-03-04,44.78252,50,50000815
2025-03-04,14.04367,60,50000815
2025-03-05,0.16647,10,50000815
2025-03-05,9.81218,20,50000815
2025-03-05,33.44557,30,50000815
2025-03-05,60.26999,40,50000815
2025-03-05,44.29066,50,50000815
2025-03-05,14.62179,60,50000815
2025-03-06,0.13317,10,50000815
2025-03-06,9.30292,20,50000815
2025-03-06,34.34832,30,50000815
2025-03-06,63.2567,40,50000815
2025-03-06,46.35571,50,50000815
2025-03-06,14.77692,60,50000815
2025-03-07,0.17706,10,50000815
2025-03-07,8.64459,20,50000815
2025-03-07,31.89433,30,50000815
2025-03-07,65.33688,40,50000815
2025-03-07,47.10787,50,50000815
2025-03-07,14.75195,60,50000815
2025-03-08,0.34732,10,50000815
2025-03-08,11.31651,20,50000815
2025-03-08,43.06707,30,50000815
2025-03-08,88.7758,40,50000815
2025-03-08,61.90069,50,50000815
2025-03-08,16.61495,60,50000815
2025-03-09,0.4805,10,50000815
2025-03-09,14.58472,20,50000815
2025-03-09,53.7419,30,50000815
2025-03-09,100.0,40,50000815
2025-03-09,66.53626,50,50000815
2025-03-09,18.18814,60,50000815
2025-03-10,0.24063,10,50000815
2025-03-10,11.85755,20,50000815
2025-03-10,44.27099,30,50000815
2025-03-10,80.27801,40,50000815
2025-03-10,52.22773,50,50000815
2025-03-10,16.29714,60,50000815
2025-03-11,0.24668,10,50000815
2025-03-11,10.94648,20,50000815
2025-03-11,42.30885,30,50000815
2025-03-11,79.82096,40,50000815
2025-03-11,52.59549,50,50000815
2025-03-11,16.00732,60,50000815
2025-03-12,0.23079,10,50000815
2025-03-12,10.8186,20,50000815
2025-03-12,42.35123,30,50000815
2025-03-12,85.97524,40,50000815
2025-03-12,56.43274,50,50000815
2025-03-12,17.94524,60,50000815
2025-03-13,0.2429,10,50000815
2025-03-13,10.28285,20,50000815
2025-03-13,39.82686,30,50000815
2025-03-13,83.29348,40,50000815
2025-03-13,55.46189,50,50000815
2025-03-13,17.18551,60,50000815
2025-03-14,0.23382,10,50000815
2025-03-14,9.12585,20,50000815
2025-03-14,34.91207,30,50000815
2025-03-14,79.09225,40,50000815
2025-03-14,51.20164,50,50000815
2025-03-14,15.84539,60,50000815
2025-03-15,0.50018,10,50000815
2025-03-15,11.46255,20,50000815
2025-03-15,43.36899,30,50000815
2025-03-15,92.17567,40,50000815
2025-03-15,63.67591,50,50000815
2025-03-15,18.55514,60,50000815
